13|05|Именины Максим, Никита, Яков, Игнатий|
14|05|Именины Герасим, Игнат, Макар, Тамара|
15|05|Международный день семьи|
15|05|1945 Московское радио передало последнюю оперативную сводку Совинформбюро|
15|05|Именины Афанасий, Борис, Глеб, Глеб, Зоя, Роман|
16|05|1764 В Петербурге основано первое в стране учебное учреждения для женщин - Смольный институт|
16|05|1896 В Петербурге в саду «Аквариум» состоялся первый кинопросмотр в России|
16|05|1924 Вышел первый номер журнала «Мурзилка»|
16|05|Именины Петр, Тимофей, Мавра|
17|05|Всемирный день информационного сообщества|
17|05|1606 В Москве началось восстание против польских интервентов. Казнен Лжедмитрий I|
17|05|Именины Кирилл, Климент, Никита, Пелагея, Зосима|
18|05|1977 Международный день музеев|
18|05|1703 День Балтийского флота|
18|05|Именины Иван, Ирина, Яков|
19|05|1712 Петр I перенес столицу России из Москвы в Санкт-Петербург|
19|05|1922 Создана первая пионерская организация|
19|05|Именины Денис|
20|05|1875 Всемирный день метролога|
20|05|1506 Умер Христофор Колумб, мореплаватель|
20|05|Именины Антон, Давид, Иван, Осип, Михаил, Пахом|
21|05|Всемирный день культурного разнообразия во имя диалога и развития|
21|05|1731 День Тихоокеанского флота|
21|05|Именины Арсений, Иван|
22|05|Международный день биологического разнообразия|
22|05|1959 Вышло постановление «О подготовке человека к космическим полетам»|
22|05|Именины Исай, Николай|
23|05|Именины Таисия|
24|05|День славянской письменности и культуры (День Кирилла и Мефодия)|
24|05|Европейский День Парков|
24|05|2005 День кадровика|
24|05|Именины Осип, Кирилл, Мефодий, Никодим|
25|05|1682 В Москве произошел стрелецкий бунт|
25|05|Именины Герман, Денис, Епифан|
26|05|2007 День российского предпринимательства|
26|05|Именины Александр, Георгий, Ефим, Ирина, Макар|
27|05|Всероссийский день библиотек|
27|05|1703 Петр I основал Санкт-Петербург|
27|05|Именины Леонтий, Максим, Никита, Сидор|
28|05|1918 День пограничника|
28|05|Именины Дмитрий, Исай, Пахом|
29|05|1910 День военного автомобилиста в России|
29|05|Международный день миротворцев ООН|
29|05|Именины Александр, Лаврентий, Модест, Муза|
30|05|1431 В Руане сожжена на костре Жанна д'Арк|
30|05|Именины Ефросинья, Степан, Евдокия|
31|05|2005 День российской адвокатуры|
31|05|Всемирный день без табака (День борьбы с курением)|
31|05|Всемирный день блондинок|
31|05|1123 Первое сражение русских и половецких дружин с монголо-татарским войском|
31|05|Именины Александра, Андрей, Денис, Клавдия, Юлия|
01|06|Международный день защиты детей|
01|06|Именины Сергей, Дмитрий, Игнатий, Иван|
02|06|Именины Александр, Алексей, Тимофей|
03|06|Именины Елена, Константин, Михаил, Федор|
04|06|Международный день невинных детей - жертв агрессии|
04|06|1897 В Петербурге начато строительство крейсера «Аврора»|
04|06|Именины Яков, Василиск, Владимир|
04|06|День государственных символов Казахстана |
05|06|День эколога|
05|06|Всемирный день охраны окружающей среды.|
05|06|1981 Американский Центр контроля над заболеваниями зарегистрировал новую болезнь - СПИД|
05|06|Именины Ефросинья, Леонтий, Михаил, Сергей|
06|06|Пушкинский день России|
06|06|1957 В Москве открыт магазин «Детский мир»|
06|06|Именины Иван, Мелентий, Никита, Семен, Степан|
07|06|Именины Ферапонт, Иван|
08|06|1701 День социального работника|
08|06|1946 Создана Международная организация журналистов|
08|06|Именины Георгий, Елена, Иван, Макар|
09|06|Международный день друзей |
09|06|1931 Между Москвой и Ленинградом начал курсировать первый в стране поезд «Красная стрела»|
09|06|Именины Иван, Иона, Нил, Федор|
10|06|1936 В Москве организована киностудия «Союзмультфильм»|
10|06|1940 Италия вступила во вторую мировую войну на стороне Германии|
10|06|Именины Евтихий, Игнат, Никита|
11|06|Именины Иван|
12|06|День России|
12|06|1991 Первые президентские выборы в России, первым президентом был избран Борис Ельцин|
12|06|Именины Исаакий|
13|06|1891 Состоялась закладка Великой Сибирской железнодорожной магистрали|
13|06|1895 Во Франции прошли первые в мире автомобильные гонки|
13|06|Именины Иван, Петр, Еремей|
14|06|Всемирный день донора крови|
14|06|День работников миграционной службы|
14|06|Именины Денис, Харитон, Устин, Валериан|
15|06|1896 В результате землетрясения и цунами в Японии погибли 27 тысяч человек|
15|06|Именины Александр, Иван, Никифор, Ульяна|
16|06|1963 Начался космический полет Валентины Терешковой|
16|06|1671 Казнен Степан Разин, донской атаман, предводитель Крестьянской войны|
16|06|1925 В Крыму открылся Всесоюзный пионерский лагерь «Артек»|
16|06|Именины Денис, Дмитрий, Лукьян, Павел, Кирилл|
17|06|Всемирный день борьбы с опустыниванием и засухой.|
17|06|Именины Зосима, Северин|
18|06|Именины Дорофей, Игорь, Игорь, Иона, Константин, Леонид|
19|06|1862 На всей территории США запрещено рабовладение|
19|06|Именины Виссарин, Илларион, Иона, Ростислав, Софья|
